Institution Code,Facility Name,Street,City,State,Zip Code
buh,BUTNER FMC,P.O. BOX 1600,BUTNER,NC,27509
cop,COLEMAN I USP,P.O. BOX 1033,COLEMAN,FL,33521
cda,DALLAS CCM,US ARMED FORCES RESERVE CMPL,GRAND PRAIRIE,TX,75051
ckc,KANSAS CITY CCM,"400 STATE AVE., RM 131",KANSAS CITY,KS,66101
bmp,BEAUMONT USP,P. O. BOX 26030,BEAUMONT,TX,77720
cst,ST LOUIS CCM,"1222 SPRUCE ST, SUITE 6.101",ST LOUIS,MO,63103
flf,FLORENCE FCI,PO BOX 6000,FLORENCE,CO,81226
for,FORREST CITY FCI,P.O. BOX 9000,FORREST CITY,AR,72336
vim,VICTORVILLE MED I FCI,P.O. BOX 3725,ADELANTO,CA,92301
cpg,PITTSBURGH CCM,"1000 LIBERTY AVENUE,STE 1315",PITTSBURGH,PA,15222
cmy,MONTGOMERY CCM,"MAXWELL AFB, BLDG 1209",MONTGOMERY,AL,36112
cnv,NASHVILLE CCM,"701 BROADWAY ST, SUITE 124",NASHVILLE,TN,37203
bml,BEAUMONT LOW FCI,P.O. BOX 26020,BEAUMONT,TX,77720
but,BUTNER MED I FCI,P.O. BOX 1000,BUTNER,NC,27509
csc,SACRAMENTO CCM,"501 I STREET, SUITE 9-400",SACRAMENTO,CA,95814
bmm,BEAUMONT MED FCI,P.O. BOX 26040,BEAUMONT,TX,77720
alf,ALLENWOOD LOW FCI,P.O. BOX 1000,WHITE DEER,PA,17887
cmm,MIAMI CCM,401 N MIAMI AVENUE,MIAMI,FL,33128
cph,PHOENIX CCM,"230 N FIRST AVE, SUITE 405",PHOENIX,AZ,85003
flm,FLORENCE ADMAX USP,PO BOX 8500,FLORENCE,CO,81226
flp,FLORENCE HIGH USP,P.O. BOX 7000,FLORENCE,CO,81226
lom,LOMPOC II FCI,3901 KLEIN BLVD,LOMPOC,CA,93436
cse,SEATTLE CCM,2425 SOUTH 200 ST (AT FDC),SEATTLE,WA,98198
thp,TERRE HAUTE USP,P.O. BOX 33,TERRE HAUTE,IN,47808
buf,BUTNER LOW FCI,P.O. BOX 999,BUTNER,NC,27509
pen,PENSACOLA FPC,P.O. BOX 3949,PENSACOLA,FL,32516
ccn,CINCINNATI CCM,"36 E. 7TH ST., SUITE 2107-A",CINCINNATI,OH,45202
csa,SAN ANTONIO CCM,727 EAST CESAR E. CHAVEZ BLV,SAN ANTONIO,TX,78206
clp,COLEMAN II USP,P.O. BOX 1034,COLEMAN,FL,33521
alm,ALLENWOOD MED FCI,P.O. BOX 2000,WHITE DEER,PA,17887
oad,OAKDALE II FCI,P.O. BOX 5010,OAKDALE,LA,71463
clb,LONG BEACH CCM,1299 SEASIDE AVENUE,SAN PEDRO,CA,90731
haz,HAZELTON USP,P.O. BOX 2000,BRUCETON MILLS,WV,26525
col,COLEMAN LOW FCI,P.O. BOX 1031,COLEMAN,FL,33521
tha,TERRE HAUTE FCI,P.O. BOX 33,TERRE HAUTE,IN,47808
yaz,YAZOO CITY LOW FCI,P.O. BOX 5000,YAZOO CITY,MS,39194
cbr,BALTIMORE CCM,"400 FIRST STREET, NW",WASHINGTON,DC,20534
crl,RALEIGH CCM,OLD NC 75 HIGHWAY,BUTNER,NC,27509
cat,ATLANTA CCM,719 MCDONOUGH BLVD S.E.,ATLANTA,GA,30315
vip,VICTORVILLE USP,P.O. BOX 3900,ADELANTO,CA,92301
pol,POLLOCK USP,P.O. BOX 2099,POLLOCK,LA,71467
fom,FORREST CITY MED FCI,PO BOX 3000,FORREST CITY,AR,72336
pet,PETERSBURG FCI,P.O. BOX 1000,PETERSBURG,VA,23804
gua,GUAYNABO MDC,P.O. BOX 2005,CATANO,RQ,00963
cms,MINNEAPOLIS CCM,"300 SOUTH 4TH ST, SUITE 1210",MINNEAPOLIS,MN,55415
cnk,RRM NEW YORK,201 VARICK STREET,NEW YORK,NY,10014
cch,CHICAGO CCM,"1901 BUTTERFIELD ROAD, SUITE",DOWNERS GROVE,IL,60515
yam,YAZOO CITY LOW II FCI,P.O. BOX 5000,YAZOO CITY,MS,39194
pem,PETERSBURG MED FCI,P.O. BOX 1000,PETERSBURG,VA,23804
tcp,TUCSON USP,P.O. BOX 24550,TUCSON,AZ,85734
btf,BUTNER MED II FCI,P.O. BOX 1500,BUTNER,NC,27509
tcn,TUCSON FCI,P.O. BOX 23811,TUCSON,AZ,85734
cor,ORLANDO CCM,6303 COUNTY ROAD 500,WILDWOOD,FL,34785
oak,OAKDALE I FCI,P.O. BOX 5000,OAKDALE,LA,71463
vvm,VICTORVILLE MED II FCI,PO BOX 3850,ADELANTO,CA,92301
lee,LEE USP,P.O. BOX 305,JONESVILLE,VA,24263
lof,LOMPOC FCI,3600 GUARD ROAD,LOMPOC,CA,93436
alp,ALLENWOOD USP,P.O. BOX 3000,WHITE DEER,PA,17887
sch,SCHUYLKILL FCI,P.O. BOX 759,MINERSVILLE,PA,17954
ald,ALDERSON FPC,GLEN RAY RD. BOX A,ALDERSON,WV,24910
cpa,PHILADELPHIA CCM,2ND & CHESTNUT ST - 7TH FL,PHILADELPHIA,PA,19106
pom,POLLOCK MED FCI,P.O. BOX 4050,POLLOCK,LA,71467
cdt,DETROIT CCM,4026 E. ARKONA RD.,MILAN,MI,48160
mcd,MCDOWELL FCI,P.O.BOX 1009,WELCH,WV,24801
sst,SANDSTONE FCI,P.O. BOX 1000,SANDSTONE,MN,55072
yap,YAZOO CITY MED FCI,P.O. BOX 5000,YAZOO CITY,MS,39194
yan,YANKTON FPC,P.O. BOX 700,YANKTON,SD,57078
haf,HAZELTON FCI,P.O. BOX 5000,BRUCETON MILLS,WV,26525
tom,THOMSON FCI,PO BOX 1002,THOMSON,IL,61285
rbk,RAY BROOK FCI,P.O. BOX 900,RAY BROOK,NY,12977
